latitude,longitude
25.48853142,51.45003113
25.49010769,51.44907601
25.49051328,51.44882543
25.49091918,51.44857902
25.49107535,51.44848957
25.4915539,51.44819904
25.49194346,51.44796284
25.49220907,51.44779507
25.49241685,51.44766818
25.49256495,51.44757926
25.49265247,51.44754225
25.49274246,51.44752342
25.49283524,51.44751661
25.49292338,51.44752468
25.49301665,51.44754919
25.49308865,51.4475875
25.4931629,51.44764017
25.49322537,51.44770715
25.49327093,51.44777646
25.49331497,51.44786652
25.49336336,51.44799765
25.49337613,51.44812199
25.49336314,51.44824074
25.49334034,51.44833341
25.49330091,51.44843637
25.49325996,51.44851643
25.49307708,51.44884528
25.49298102,51.44901804
25.49286094,51.44914157
25.49272641,51.44925602
25.49263693,51.44934584
25.49253743,51.44944852
25.49243762,51.44958193
25.49236661,51.44970164
25.49198018,51.45040375
25.49167488,51.45095374
25.49161852,51.45106204
25.49156995,51.45114911
25.49153198,51.45123916
25.49150532,51.45132574
25.49149255,51.45143039
25.49148677,51.45155367
25.49147767,51.45167978
25.4914464,51.45181919
25.491392,51.45190544
25.49131936,51.4519599
25.49122677,51.45200957
25.49108557,51.4520909
25.49098383,51.45217712
25.49091095,51.45224567
25.49085629,51.4523102
25.49067624,51.45252763
25.49059405,51.45263019
25.49054195,51.45271626
25.49047724,51.45282125
25.4903871,51.45299183
25.49029063,51.45317614
25.4901688,51.45343156
25.49008435,51.4536266
25.49000696,51.45385542
25.48994134,51.45410505
25.48990331,51.45434728
25.48986875,51.45464814
25.48984729,51.45499016
25.4898265,51.45526854
25.48981445,51.45550746
25.48978017,51.45587079
25.48977122,51.45626297
25.48984526,51.45706021
25.48991801,51.45770685
25.4899805,51.45829402
25.48999487,51.45846046
25.49000611,51.45861435
25.48999227,51.45872036
25.4899719,51.45886784
25.48994589,51.45896033
25.48987778,51.45911932
25.48978027,51.45925253
25.48964992,51.45937815
25.48951689,51.45946817
25.48917779,51.45966813
25.48901948,51.4597649
25.48888663,51.45985233
25.4887696,51.45991675
25.4886551,51.45996689
25.48855591,51.45998638
25.48844726,51.45998488
25.48836765,51.45996825
25.48827858,51.45993064
25.4881959,51.45988484
25.48812331,51.45983438
25.48740331,51.45932745
25.48723308,51.45921449
25.48709849,51.45911657
25.48701051,51.45902514
25.48696062,51.45895112
25.48692576,51.45887716
25.48690237,51.45880229
25.48688432,51.45872059
25.48688111,51.45863641
25.48687945,51.45856178
25.48689356,51.45847749
25.48691183,51.45836857
25.48710123,51.4573221
25.48723533,51.45660166
25.48727061,51.45640307
25.48730325,51.45623158
25.48732614,51.45606983
25.48732835,51.45590974
25.48730017,51.45579688
25.4872657,51.45571138
25.48721005,51.45561991
25.48713619,51.45553246
25.48704461,51.45545667
25.48692121,51.45538856
25.48591853,51.45481684
25.48531042,51.45447382
25.48492155,51.45424925
25.48453235,51.45401959
25.48418794,51.45383154
25.48407815,51.45375977
25.4839933,51.45368089
25.48392846,51.45359016
25.483883,51.45351323
25.48384506,51.4534101
25.48382869,51.45330141
25.48382342,51.45320333
25.48384415,51.45309676
25.48388376,51.45299635
25.48392347,51.45291513
25.48399058,51.45282913
25.48405297,51.45277678
25.48412422,51.4527186
25.48448513,51.45250364
25.48486924,51.45226806
25.48569496,51.45175684
25.48605021,51.45153893
25.4868952,51.45103088
25.48765717,51.4505591
25.48853142,51.45003113
